iter	Logloss
0	0.629071252
1	0.5895316226
2	0.5560976794
3	0.5273462211
4	0.5019890636
5	0.4923060195
6	0.4787792408
7	0.4645194688
8	0.4530706286
9	0.4434836351
10	0.4394418355
11	0.4293127986
12	0.422266423
13	0.4164234718
14	0.4107739996
15	0.4061131785
16	0.4039821211
17	0.3986482568
18	0.395337333
19	0.3921353305
20	0.3899668318
21	0.389601296
22	0.3865368415
23	0.3834749494
24	0.3808350692
25	0.3785054941
26	0.3759924884
27	0.3743108343
28	0.3738641803
29	0.3723446308
30	0.3702573752
31	0.3674728691
32	0.3661104219
33	0.3635202598
34	0.3622731144
35	0.3603885598
36	0.3593507275
37	0.3584208107
38	0.3565029739
39	0.3557102294
40	0.352683774
41	0.3512983825
42	0.3496084827
43	0.3480933343
44	0.3451734824
45	0.3428336142
46	0.3419291525
47	0.3411109347
48	0.3400816675
49	0.3384744088
50	0.3362750249
51	0.3348638569
52	0.3341507436
53	0.3334132465
54	0.3327037085
55	0.3315503206
56	0.3304927543
57	0.3295789217
58	0.3291079048
59	0.3274345075
60	0.3261589078
61	0.3245166508
62	0.3221842426
63	0.321672631
64	0.3209310293
65	0.3205452134
66	0.3182334839
67	0.3175919076
68	0.3168008903
69	0.3155991935
70	0.315540761
71	0.3121331032
72	0.3113853298
73	0.3098409778
74	0.3093669892
75	0.3085998161
76	0.3070220687
77	0.3063989014
78	0.305903962
79	0.3048363015
80	0.3040747348
81	0.303543891
82	0.3024373099
83	0.3013020216
84	0.3009430354
85	0.300158779
86	0.2980971848
87	0.2961900731
88	0.2958998746
89	0.2939641318
90	0.2927758516
91	0.2915175331
92	0.2910787314
93	0.2907113806
94	0.2896560574
95	0.2879490478
96	0.2859273884
97	0.2849019488
98	0.283274348
99	0.2819901177
100	0.2818554755
101	0.2810324222
102	0.2800702344
103	0.2781415186
104	0.2771331091
105	0.2762276624
106	0.2734839787
107	0.2727996253
108	0.2713244205
109	0.2697015392
110	0.2668742854
111	0.2650353406
112	0.2638149684
113	0.2632370386
114	0.2628391921
115	0.26249385
116	0.2618468747
117	0.2599939486
118	0.258868769
119	0.25834319
120	0.2561112924
121	0.254876574
122	0.2538972692
123	0.2536905885
124	0.2526361983
125	0.2523698749
126	0.2509880595
127	0.2496306633
128	0.2490469408
129	0.2486562278
130	0.2480459282
131	0.2476371336
132	0.2458434131
133	0.2452914338
134	0.2439497323
135	0.2426555315
136	0.2418700029
137	0.2408436829
138	0.2401733866
139	0.2396535199
140	0.2392135985
141	0.2389995191
142	0.2389017893
143	0.2377397388
144	0.2363094878
145	0.2358598751
146	0.2338397163
147	0.2317841807
148	0.2306896735
149	0.2293282941
150	0.2284290809
151	0.2281592494
152	0.2271053625
153	0.2267725671
154	0.225644979
155	0.2253426348
156	0.2240846226
157	0.2225922609
158	0.2219637742
159	0.2212291354
160	0.2207723688
161	0.2198637862
162	0.2195525198
163	0.2187313892
164	0.2173360647
165	0.2165348627
166	0.2164803834
167	0.215162585
168	0.2144996599
169	0.2136095397
170	0.2128548584
171	0.2120661261
172	0.2116128039
173	0.2111091635
174	0.2110479456
175	0.2106431127
176	0.2095326252
177	0.2086843296
178	0.2086547421
179	0.2082613279
180	0.207477803
181	0.206850249
182	0.2058528978
183	0.2053075265
184	0.2046716326
185	0.2036762723
186	0.2031431816
187	0.2020077317
188	0.2018197294
189	0.2002564696
190	0.1995526942
191	0.1978840946
192	0.1968889284
193	0.1968478809
194	0.1961538924
195	0.1955390291
196	0.1947446531
197	0.1944281925
198	0.1943259183
199	0.1939397995
