iter	Passed	Remaining
0	2	538
1	5	544
2	7	492
3	10	524
4	13	539
5	16	524
6	19	547
7	23	570
8	26	572
9	30	576
10	33	573
11	36	570
12	39	565
13	41	554
14	43	541
15	45	527
16	47	514
17	50	506
18	52	496
19	54	489
20	56	481
21	57	464
22	59	456
23	61	450
24	63	443
25	65	439
26	67	434
27	72	443
28	76	452
29	80	458
30	85	468
31	90	476
32	94	476
33	98	483
34	104	492
35	108	496
36	113	498
37	117	500
38	122	504
39	126	506
40	130	505
41	132	500
42	136	497
43	139	494
44	142	491
45	145	486
46	148	482
47	150	476
48	152	471
49	155	466
50	158	462
51	160	456
52	162	451
53	165	446
54	167	441
55	169	436
56	172	433
57	175	428
58	177	424
59	179	419
60	182	415
61	184	410
62	187	406
63	189	402
64	192	398
65	193	393
66	196	389
67	198	385
68	200	380
69	202	376
70	204	371
71	206	367
72	209	363
73	211	359
74	213	356
75	215	352
76	218	348
77	220	345
78	222	341
79	224	337
80	227	333
81	229	330
82	231	326
83	234	323
84	236	320
85	238	316
86	241	313
87	243	310
88	246	306
89	248	303
90	251	300
91	253	297
92	255	294
93	258	291
94	260	287
95	262	284
96	265	281
97	267	278
98	270	275
99	272	272
100	274	269
101	276	265
102	279	262
103	281	259
104	283	256
105	286	253
106	288	250
107	290	247
108	292	244
109	294	241
110	297	238
111	299	235
112	302	232
113	304	229
114	306	226
115	309	224
116	311	221
117	314	218
118	316	215
119	318	212
120	321	209
121	323	207
122	326	204
123	328	201
124	330	198
125	333	195
126	336	193
127	338	190
128	340	187
129	343	184
130	345	181
131	347	178
132	349	176
133	352	173
134	354	170
135	356	167
136	359	165
137	361	162
138	364	159
139	366	157
140	369	154
141	372	151
142	374	149
143	376	146
144	378	143
145	381	141
146	383	138
147	385	135
148	388	132
149	390	130
150	392	127
151	395	124
152	397	122
153	400	119
154	402	116
155	405	114
156	407	111
157	409	108
158	412	106
159	414	103
160	417	101
161	419	98
162	422	95
163	424	93
164	426	90
165	429	87
166	431	85
167	434	82
168	436	80
169	438	77
170	441	74
171	443	72
172	446	69
173	449	67
174	451	64
175	454	61
176	456	59
177	459	56
178	462	54
179	464	51
180	466	49
181	469	46
182	471	43
183	474	41
184	476	38
185	479	36
186	481	33
187	484	30
188	487	28
189	489	25
190	491	23
191	494	20
192	496	18
193	498	15
194	501	12
195	503	10
196	506	7
197	508	5
198	511	2
199	513	0
